word,freq
china,444
italy,280
iran,266
spain,243
france,242
united-states,224
united-kingdom,210
netherlands,197
germany,186
belgium,180
switzerland,170
turkey,153
sweden,144
brazil,143
canada,138
portugal,114
ireland,99
india,96
mexico,95
indonesia,93
philippines,89
ecuador,80
taiwan,77
russia,74
diamond-princess,73
austria,70
peru,68
romania,63
poland,61
san-marino,61
lebanon,54
thailand,54
albania,53
guyana,52
azerbaijan,51
sudan,51
iceland,49
bahrain,48
guatemala,48
burkina-faso,46
slovakia,46
costa-rica,45
jamaica,45
tunisia,45
gabon,44
japan,44
kazakhstan,44
bulgaria,43
democratic-republic-of-the-congo,43
ghana,43
lithuania,43
mauritius,43
paraguay,43
singapore,43
andorra,42
cyprus,42
gambia,41
montenegro,41
zimbabwe,41
cabo-verde,40
australia,39
trinidad-&-tobago,39
armenia,38
cuba,38
kenya,38
kosovo,38
west-bank-&-gaza,38
jordan,37
nicaragua,37
nigeria,37
togo,37
uzbekistan,37
venezuela,37
afghanistan,36
brunei,36
croatia,36
estonia,36
qatar,36
sri-lanka,36
angola,35
ivory-coast,35
mali,35
monaco,35
new-zealand,35
syria,35
uruguay,35
mauritania,34
botswana,33
el-salvador,33
myanmar,33
oman,33
tanzania,33
united-arab-emirates,33
bahamas,32
ms-zaandam,32
senegal,32
bosnia-&-herzegovina,31
cameroon,31
libya,31
niger,31
zambia,31
argentina,30
kyrgyzstan,30
latvia,30
suriname,30
bangladesh,29
bolivia,29
georgia,29
honduras,29
kuwait,29
liberia,29
liechtenstein,29
moldova,29
slovenia,29
barbados,28
ethiopia,28
haiti,28
iraq,28
north-macedonia,28
belize,27
benin,27
antigua-&-barbuda,26
luxembourg,26
malawi,26
panama,26
ukraine,26
malta,25
morocco,25
somalia,25
egypt,24
hungary,24
djibouti,23
finland,22
greece,22
south-africa,22
algeria,20
belarus,20
burundi,20
norway,20
chile,18
guinea,18
pakistan,18
saudi-arabia,18
south-korea,18
colombia,17
eswatini,17
malaysia,17
israel,16
serbia,16
dominica,14
dominican-republic,14
denmark,13
czech-republic,12
equatorial-guinea,11
sierra-leone,10
guinea-bissau,7
chad,5
maldives,4
yemen,3
sao-tome-&-principe,2
tajikistan,1